flightId,airlineName,alias,iata,icao,callSign,countryLocated,airlineOperationalStatus
4002,Polizeihuberschrauberstaffel Sachsen-Anhalt,null,null,PIK,POLICE IKARUS,Germany,N
4003,Polizeihubschrafterstaffel Rheinland-Pfalz,null,null,SRP,SPERBER,Germany,N
4004,Polizeihubschrauberstaffel Baden-Wurtemberg,null,null,PBW,BUSSARD,Germany,N
4005,Polizeihubschrauberstaffel Bayern,null,null,EDL,POLICE EDELWEISS,Germany,N
4006,Polizeihubschrauberstaffel Brandenburg,null,null,PBB,ADEBAR,Germany,N
2002,Deccan Aviation (Lanka),null,null,DLK,DEKKANLANKA,Sri Lanka,N
2003,Deer Jet,null,null,DER,DEER JET,China,N
2004,Deere and Company,null,null,JDC,JOHN DEERE,United States,N
2005,Delaware Skyways,null,null,DWR,DELAWARE,United States,N
2006,Delta Aerotaxi,null,null,DEA,JET SERVICE,Italy,Y
2007,Delta Air Charter,null,null,SNO,SNOWBALL,Canada,N
2008,Delta Air Elite,null,null,ELJ,ELITE JET,United States,N
2009,Delta Air Lines,null,DL,DAL,DELTA,United States,Y
2010,Delta Engineering Aviation,null,null,KMB,KEMBLEJET,United Kingdom,N
2011,Delta Express International,null,null,DLI,DELTA EXPRESS,Ukraine,N
2012,Delta State University,null,null,DSU,DELTA STATE,United States,N
2013,Denim Air,null,null,DNM,DENIM,Netherlands,Y
2014,Denver Express,null,null,FEC,FALCON EXPRESS,United States,N
2015,Denver Jet,null,null,DJT,DENVER JET,United States,N
2016,Departmento De Agricultura De La Generalitat De Cataluna,null,null,FGC,FORESTALES,Spain,N
2017,Deraya Air Taxi,null,null,DRY,DERAYA,Indonesia,N
2018,Des R Cargo Express,null,null,DRX,null,Mauritania,N
2019,Desarrollo Milaz,null,null,MIZ,MILAZ,Mexico,N
2020,Destiny Air Services,null,null,DTY,DESTINY,Sierra Leone,N
2021,Deutsche Bahn,null,2A,null,null,Germany,Y
2022,Deutsche Rettungsflugwacht,null,1I,AMB,CIVIL AIR AMBULANCE,Germany,N
2023,Deutsches Zentrum fur Luft-und Raumfahrt EV,null,null,LFO,LUFO,Germany,N
2024,Di Air,null,null,DIS,DI AIR,Serbia,N
2025,Diamond Aviation,null,null,SPK,SPARKLE,United States,N
2026,Didier Rousset Buy,null,null,DRB,DIDIER,Chile,N
2027,Digital Equipment Corporation,null,null,DGT,DIGITAL,United States,N
2028,Dinar,null,D7,RDN,AERO DINAR,Argentina,N
2029,Diplomatic Freight Services,null,null,DIP,DIPFREIGHT,United Kingdom,N
2030,Direccion General de Aviacion Civil y Telecomunicasciones,null,null,ENA,ENA,Spain,N
2031,Direct Air,null,null,DIA,BLUE SKY,United States,N
2032,Direct Air trading as Midway Connection,null,null,XAP,MID-TOWN,United States,N
2033,Direct Flight,null,null,DCT,null,United Kingdom,N
2034,Sky Express,null,null,SXP,EXPRESS SKY,Poland,N
2035,Dirgantara Air Service,null,AW,DIR,DIRGANTARA,Indonesia,N
2036,Discover Air,null,null,DCV,DISCOVER,United States,N
2037,Discovery Airways,null,DH,DVA,DISCOVERY AIRWAYS,United States,N
2038,Dispatch Services,null,null,XDS,null,United States,N
2039,Dix Aviation,null,null,DIX,DIX FLIGHT,Germany,N
2040,Dixie Airways,null,null,DEE,TACAIR,United States,N
2041,Djibouti Airlines,null,D8,DJB,DJIBOUTI AIR,Djibouti,Y
2042,Dniproavia,null,null,UDN,DNIEPRO,Ukraine,Y
2043,Flying Dolphin Airlines,null,null,FDN,FLYING DOLPHIN,United Arab Emirates,N
2044,Dolphin Express Airlines,null,null,IXX,ISLAND EXPRESS,United States,N
2045,Dome Petroleum,null,null,DPL,DOME,Canada,N
2046,Dominguez Toledo (Grupo Mayoral),null,null,MYO,MAYORAL,Spain,N
2047,Dominicana de Aviaci,null,DO,DOA,DOMINICANA,Dominican Republic,Y
2048,Domodedovo Airlines,null,E3,DMO,DOMODEDOVO,Russia,Y
2049,Don Avia,null,null,DVB,DONSEBAI,Kazakhstan,N
2050,Donair Flying Club,null,null,DON,DONAIR,United Kingdom,N
2051,DonbassAero,null,5D,UDC,DONBASS AERO,Ukraine,Y
2052,Dorado Air,null,null,DAD,DORADO AIR,Dominican Republic,N
2053,Dornier,null,null,DOR,DORNIER,Germany,N
2054,Dornier Aviation Nigeria,null,null,DAV,DANA AIR,Nigeria,N
2055,Dos Mundos,null,null,DOM,DOS MUNDOS,Dominican Republic,N
2056,Dragonair,null,KA,HDA,Hong Kong Dragon Airlines,DRAGON,Y
2057,Dreamcatcher Airways,null,null,DCA,DREAM CATCHER,United Kingdom,N
2058,Druk Air,null,KB,DRK,ROYAL BHUTAN,Bhutan,Y
2059,Drummond Island Air,null,null,DRE,MICHIGAN,United States,N
2060,Dubai Airwing,null,null,DUB,DUBAI,United Arab Emirates,N
2061,Dubrovnik Air,null,null,DBK,SEAGULL,Croatia,Y
2062,Ducair,null,null,DUK,LION KING,Luxembourg,N
2063,Duchess of Britany (Jersey) Limited,null,null,DBJ,DUCHESS,United Kingdom,N
2064,UK Royal/HRH Duke of York,null,null,LPD,LEOPARD,United Kingdom,N
2065,Dun'Air,null,null,DUN,DUNAIR,Mauritania,N
2066,Duncan Aviation,null,null,PHD,PANHANDLE,United States,N
2067,Dunyaya Bakis Hava Tasimaciligi,null,null,VVF,WORLDFOCUS,Turkey,N
2068,Duo Airways,null,null,DUO,FLY DUO,United Kingdom,N
2069,Durango Jet,null,null,DJE,DURANGO JET,Mexico,N
2070,Dutch Antilles Express,null,null,DNL,DUTCH ANTILLES,Netherlands Antilles,Y
2071,Dutch Caribbean Express,null,null,DCE,DUTCH CARIBBEAN,Netherlands Antilles,N
2072,Dutchbird,null,null,DBR,DUTCHBIRD,Netherlands,N
2073,Dwyer Aircraft Services,null,null,DFS,DWYAIR,United States,N
2074,Dynair Services,null,null,XDY,null,United States,N
2075,Dynamair Aviation,null,null,DNR,DYNAMAIR,Canada,N
2076,Dynamic Air,null,null,DYE,DYNAMIC,Netherlands,N
2077,dba,null,DI,BAG,SPEEDWAY,Germany,Y
2078,E H Darby Aviation,null,null,EHD,PLATINUM AIR,United States,N
2079,Electronic Data Systems,null,1C,null,null,Switzerland,N
2080,Electronic Data Systems,null,null,1Y,null,null,N
2081,EAA Escola De Aviacao Aerocondor,null,null,EAD,AERO-ESCOLA,Portugal,N
2082,Executive Airlines Services,null,null,EXW,ECHOLINE,Nigeria,N
2083,EFAOS- Agencia De Viagens e Turismo,null,null,EFS,EFAOS,Angola,N
2084,EFD Eisele Flugdienst,null,null,EFD,EVER FLIGHT,Germany,N
2085,EFS-Flugservice,null,null,FSD,FLUGSERVICE,Germany,N
2086,EIS Aircraft,null,null,EIS,COOL,Germany,N
2087,EPAG Groupe Air France,null,null,IAG,EPAG,France,N
2088,ESI Eliservizi Italiani,null,null,ESI,ELISERVIZI,Italy,N
2089,EU Airways,null,null,EUY,EUROAIRWAYS,Ireland,N
2090,EUjet,null,VE,EUJ,UNION JET,Ireland,N
2091,EVA Air,null,BR,EVA,EVA,Taiwan,Y
2092,Eagle Aero,null,null,ICR,ICARUS FLIGHTS,United States,N
2093,Eagle Air,null,null,EGR,EAGLE SIERRA,Sierra Leone,N
2094,Eagle Air,null,H7,null,null,Uganda,Y
2095,Eagle Air Company,null,null,EGX,THAI EAGLE,Thailand,N
2096,Eagle Air Iceland,null,null,FEI,ARCTIC EAGLE,Iceland,N
2097,Eagle Aviation,null,null,EGU,AFRICAN EAGLE,Uganda,N
2098,Eagle Aviation,null,null,GYP,GYPSY,United Kingdom,N
2099,Eagle Aviation France,null,null,EGN,FRENCH EAGLE,France,N
2100,Eagle International,null,null,SEG,SEN-EAGLE,Senegal,N
2101,Eagle Jet Charter,null,null,EGJ,EAGLE JET,United States,N
2102,Eaglemed (Ballard Aviation),null,null,EMD,EAGLEMED,United States,N
2103,Earth Airlines Services,null,null,ERX,EARTH AIR,Nigeria,N
2104,East African,null,QU,UGX,CRANE,Uganda,Y
2105,East African Safari Air,null,S9,HSA,DUMA,Kenya,N
2106,East African Safari Air Express,null,null,EXZ,TWIGA,Kenya,N
2107,East Asia Airlines,null,null,EMU,null,Macao,N
2108,East Coast Airways,null,null,ECT,EASTWAY,South Africa,N
2109,East Coast Jets,null,null,ECJ,EASTCOAST JET,United States,N
2110,East Hampton Aire,null,null,EHA,AIRE HAMPTON,United States,N
2111,East Kansas City Aviation,null,null,EKC,BLUE GOOSE,United States,N
2112,East Midlands Helicopters,null,null,CTK,COSTOCK,United Kingdom,N
2113,East Star Airlines,null,null,DXH,EAST STAR,China,N
2114,East-West Airlines,null,null,EWA,EASTWEST,Australia,N
2115,Eastern Air,null,null,EAZ,EASAIR,Zambia,N
2116,Eastern Air Executive,null,null,EAX,EASTEX,United Kingdom,N
2117,Eastern Airways,null,T3,EZE,EASTFLIGHT,United Kingdom,Y
2118,Eastern Australia Airlines,null,null,EAQ,null,Australia,N
2119,Eastern Carolina Aviation,null,null,ECI,EASTERN CAROLINA,United States,N
2120,Eastern Executive Air Charter,null,null,GNS,GENESIS,United Kingdom,N
2121,Eastern Express,null,null,LIS,LARISA,Kazakhstan,N
2122,Eastern Metro Express,null,null,EME,EMAIR,United States,N
2123,Eastern Pacific Aviation,null,null,EPB,EAST PAC,Canada,N
2124,Eastern Sky Jets,null,null,ESJ,EASTERN SKYJETS,United Arab Emirates,N
2125,Eastland Air,null,DK,ELA,null,Australia,Y
2126,Eastwind Airlines,null,W9,SGR,STINGER,United States,N
2127,Easy Link Aviation Services,null,null,FYE,FLYME,Nigeria,N
2128,Eckles Aircraft,null,null,CMN,CIMMARON AIRE,United States,N
2129,Eclipse Aviation,null,null,EJT,ECLIPSE JET,United States,N
2130,Eco Air,null,null,ECQ,SKYBRIDGE,Nigeria,N
2131,Ecoair,null,null,DEI,null,Algeria,N
2132,Ecomex Air Cargo,null,null,ECX,AIR ECOMEX,Angola,N
2133,Ecotour,null,null,ECD,ECOTOUR,Mexico,N
2134,Ecoturistica de Xcalak,null,null,XCC,XCALAK,Mexico,N
2135,Ecuatoguineana De Aviacion (EGA),null,null,ECV,EQUATOGUINEA,Equatorial Guinea,N
2136,Ecuatorial Cargo,null,null,EQC,ECUA-CARGO,Equatorial Guinea,N
2137,Ecuavia,null,null,ECU,ECUAVIA,Ecuador,Y
2138,Edelweiss Air,null,WK,EDW,EDELWEISS,Switzerland,Y
2139,Edgartown Air,null,null,SLO,SLOW,United States,N
2140,Edinburgh Air Charter,null,null,EDC,SALTIRE,United Kingdom,N
2141,Edwards Jet Center of Montana,null,null,EDJ,EDWARDS,United States,N
2142,Efata Papua Airlines,null,null,EIJ,EFATA,Indonesia,N
2143,Egyptair,null,MS,MSR,EGYPTAIR,Egypt,Y
2144,Egyptair Cargo,null,null,MSX,EGYPTAIR CARGO,Egypt,N
2145,Egyptian Air Force,null,null,EGY,null,Egypt,N
2146,Egyptian Aviation,null,null,EJX,null,Egypt,N
2147,Egyptian Aviation Company,null,null,EMA,null,Egypt,N
2148,Ei Air Exports,null,null,EIX,AIR EXPORTS,Ireland,N
2149,Eirjet,null,null,EIR,EIRJET,Ireland,N
2150,El Al Israel Airlines,null,LY,ELY,ELAL,Israel,Y
2151,El Caminante Taxi Aereo,null,null,CMX,EL CAMINANTE,Mexico,N
2152,El Quilada International Aviation,null,null,GLQ,QUILADA,Sudan,N
2153,El Sal Air,null,null,ELS,EL SAL,El Salvador,N
2154,El Sol De America,null,null,ESC,SOLAMERICA,Venezuela,N
2155,El-Buraq Air Transport,null,UZ,BRQ,BURAQAIR,Libya,Y
2156,Elan Express,null,null,ELX,ELAN,United States,N
2157,Elbe Air Transport,null,null,LBR,MOTION,Germany,N
2158,Elbrus-Avia Air Enterprise,null,null,NLK,ELAVIA,Russia,N
2159,Eldinder Aviation,null,null,DND,DINDER,Sudan,N
2160,Elicar,null,null,PDV,ELICAR,Italy,N
2161,Elidolomiti,null,null,EDO,ELIDOLOMITI,Italy,N
2162,Elieuro,null,null,ELB,ELILOBARDIA,Italy,N
2163,Elifriulia,null,null,EFG,ELIFRIULIA,Italy,N
2164,Elilario Italia,null,null,ELH,LARIO,Italy,N
2165,Elilombarda,null,null,EOA,LOMBARDA,Italy,N
